"Story","Title","Result","Date","Stability","Duration (s)"
"como usuario de automationcompani",": que el usuario ingresa con credenciales correctas","SUCCESS","2024-01-21T16:11:34.91-05:00[America/Bogota]","0.0","7.36"
"como usuario de automationcompani","que el usuario ingresa con credenciales incorrectas","SUCCESS","2024-01-21T16:11:42.946-05:00[America/Bogota]","0.0","5.11"
